xml_out_path,hash,reward,predict_reward
mjcf_model/2024-04-13_19-32-57/epoch_27/xmlrobot_27,8743773653203,79.67402648925781,58.33385467529297
mjcf_model/2024-04-13_19-32-57/epoch_28/xmlrobot_28,8743773558715,44.3414192199707,52.58332824707031
mjcf_model/2024-04-13_19-32-57/epoch_29/xmlrobot_29,8743773492697,78.78905868530273,63.38139343261719
mjcf_model/2024-04-13_19-32-57/epoch_30/xmlrobot_30,8743805105116,80.90717315673828,62.96382141113281
mjcf_model/2024-04-13_19-32-57/epoch_31/xmlrobot_31,8743773408214,76.84517288208008,64.14923095703125
mjcf_model/2024-04-13_19-32-57/epoch_32/xmlrobot_32,8743805107993,94.31909561157227,57.792991638183594
mjcf_model/2024-04-13_19-32-57/epoch_33/xmlrobot_33,8743773688839,96.05186080932617,69.32550048828125
mjcf_model/2024-04-13_19-32-57/epoch_34/xmlrobot_34,8743773710318,46.34957695007324,60.374542236328125
mjcf_model/2024-04-13_19-32-57/epoch_35/xmlrobot_35,8743773646544,78.70073318481445,60.515621185302734
mjcf_model/2024-04-13_19-32-57/epoch_36/xmlrobot_36,8743805105110,53.22972297668457,69.4688491821289
mjcf_model/2024-04-13_19-32-57/epoch_37/xmlrobot_37,8743773691094,61.49268341064453,68.01326751708984
mjcf_model/2024-04-13_19-32-57/epoch_38/xmlrobot_38,8743773424481,7.336668968200684,57.61847686767578
mjcf_model/2024-04-13_19-32-57/epoch_39/xmlrobot_39,8743773644466,14.492155075073242,59.364891052246094
mjcf_model/2024-04-13_19-32-57/epoch_40/xmlrobot_40,8743773434694,91.6007080078125,83.3404769897461
mjcf_model/2024-04-13_19-32-57/epoch_41/xmlrobot_41,8743773470010,90.31037902832031,86.35453796386719
mjcf_model/2024-04-13_19-32-57/epoch_42/xmlrobot_42,8743773608900,48.33190727233887,70.44680786132812
mjcf_model/2024-04-13_19-32-57/epoch_43/xmlrobot_43,8743773736605,52.98777389526367,69.2764663696289
mjcf_model/2024-04-13_19-32-57/epoch_44/xmlrobot_44,8743773571151,47.13993263244629,54.820533752441406
mjcf_model/2024-04-13_19-32-57/epoch_45/xmlrobot_45,8743773745327,77.68905258178711,64.46170043945312
mjcf_model/2024-04-13_19-32-57/epoch_46/xmlrobot_46,8743773415952,81.32011795043945,71.5040054321289
mjcf_model/2024-04-13_19-32-57/epoch_47/xmlrobot_47,8743773794052,53.137115478515625,72.2333984375
mjcf_model/2024-04-13_19-32-57/epoch_48/xmlrobot_48,8743773815110,79.4896354675293,69.72099304199219
mjcf_model/2024-04-13_19-32-57/epoch_49/xmlrobot_49,8743773583147,80.81372833251953,70.25039672851562
mjcf_model/2024-04-13_19-32-57/epoch_50/xmlrobot_50,8743773736467,77.70575714111328,68.06683349609375
mjcf_model/2024-04-13_19-32-57/epoch_51/xmlrobot_51,8743773645041,95.91280746459961,94.50517272949219
mjcf_model/2024-04-13_19-32-57/epoch_52/xmlrobot_52,8743773644951,97.5154037475586,89.16134643554688
mjcf_model/2024-04-13_19-32-57/epoch_53/xmlrobot_53,8743773564585,49.27556228637695,68.71830749511719
mjcf_model/2024-04-13_19-32-57/epoch_54/xmlrobot_54,8743773730359,57.4755973815918,65.50556945800781
mjcf_model/2024-04-13_19-32-57/epoch_55/xmlrobot_55,8743773651062,84.52970504760742,78.02690124511719
mjcf_model/2024-04-13_19-32-57/epoch_56/xmlrobot_56,8743773403197,82.61660385131836,59.82985305786133
